doc_id,case_id,scenario_id,split,doc_type,file_format,document_path,reference_text_path,quality_profile,style_id,supplier_name,supplier_siret,supplier_vat,customer_name,customer_siret,invoice_number,quote_number,attestation_reference,issue_date,due_date,expiration_date,currency,amount_ht,amount_tva,amount_ttc,iban,bic,is_forged,is_expired,has_cross_doc_inconsistency,notes
train-00001-invoice,train-00001,legitimate_pdf,train,invoice,pdf,source_documents/train/train-00001/train-00001-invoice.pdf,reference_texts/train/train-00001/train-00001-invoice.txt,clean_pdf,midnight_navy,VRD SOULAIMANA FILS,02405890100026,FR82024058901,SUD MENUISERIE ET BTP,02405244100011,FAC-202603-0001,,,2026-03-15,2026-04-14,,EUR,6125.89,1225.18,7351.07,FR7664633188130713788573539,WYQJQFEB,False,False,False,
train-00002-invoice,train-00002,legitimate_pdf,train,invoice,pdf,source_documents/train/train-00002/train-00002-invoice.pdf,reference_texts/train/train-00002/train-00002-invoice.txt,clean_pdf,heritage_burgundy,DISTRICT DE LEVET,01625002900796,FR33016250029,LE FIACRE,00732021100035,FAC-202510-0002,,,2025-10-31,2025-11-30,,EUR,10013.30,2002.66,12015.96,FR7644153912327108538381889,FSTOLMFZ,False,False,False,
train-00003-invoice,train-00003,legitimate_pdf,train,invoice,pdf,source_documents/train/train-00003/train-00003-invoice.pdf,reference_texts/train/train-00003/train-00003-invoice.txt,clean_pdf,tech_slate,MAGASIN DES ILES,02404569200035,FR31024045692,DORAS,01585179300453,FAC-202510-0003,,,2025-10-15,2025-11-14,,EUR,3109.24,621.85,3731.09,FR7693549574560198208123661,LLXHXBTK,False,False,False,
train-00004-invoice,train-00004,legitimate_pdf,train,invoice,pdf,source_documents/train/train-00004/train-00004-invoice.pdf,reference_texts/train/train-00004/train-00004-invoice.txt,clean_pdf,compliance_green,HYPERDISCOUNT,02407969100010,FR81024079691,LA BRIOCHE DOREE,01545121400041,FAC-202603-0004,,,2026-03-14,2026-04-13,,EUR,7662.03,1532.41,9194.44,FR7684215601005757419941392,HMQUHRAD,False,False,False,
train-00005-invoice,train-00005,legitimate_pdf,train,invoice,pdf,source_documents/train/train-00005/train-00005-invoice.pdf,reference_texts/train/train-00005/train-00005-invoice.txt,clean_pdf,midnight_navy,HERBEMONT,01555088200714,FR23015550882,DOUKA BE MANDZARSOUA,02404912400316,FAC-202602-0005,,,2026-02-28,2026-03-30,,EUR,8102.35,1620.47,9722.82,FR7606722740436114412734374,UBNOAGLI,False,False,False,
train-00006-invoice,train-00006,legitimate_pdf,train,invoice,pdf,source_documents/train/train-00006/train-00006-invoice.pdf,reference_texts/train/train-00006/train-00006-invoice.txt,clean_pdf,minimal_gray,ECAH,02407591300020,FR96024075913,ESPACE AUTO PRESQU'ILE,00718053200041,FAC-202511-0006,,,2025-11-06,2025-12-06,,EUR,8603.02,1720.60,10323.62,FR7626097224304357311435764,RIJLKQOX,False,False,False,
train-00007-invoice,train-00007,legitimate_scan,train,invoice,png,source_documents/train/train-00007/train-00007-invoice.png,reference_texts/train/train-00007/train-00007-invoice.txt,scan_blur_rotation,heritage_burgundy,AUDIT GESTION CONSEIL,01735137000113,FR42017351370,EPICERIE NAFASSI,02406496600021,FAC-202601-0007,,,2026-01-16,2026-02-15,,EUR,7225.78,1445.16,8670.94,FR7664938780352474319220440,HAZXDJDU,False,False,False,
train-00008-invoice,train-00008,legitimate_scan,train,invoice,png,source_documents/train/train-00008/train-00008-invoice.png,reference_texts/train/train-00008/train-00008-invoice.txt,scan_blur_rotation,corporate_blue,PIZZERIA LE DJEMBE,02408254700027,FR16024082547,L'ENFANT NOIR,02405142700011,FAC-202508-0008,,,2025-08-31,2025-09-30,,EUR,8391.73,1678.35,10070.08,FR7694122052664526712109879,GYREQPXH,False,False,False,
train-00009-invoice,train-00009,legitimate_scan,train,invoice,png,source_documents/train/train-00009/train-00009-invoice.png,reference_texts/train/train-00009/train-00009-invoice.txt,scan_blur_rotation,tech_slate,DOUKA BE DE TSARARANO,02404912400266,FR45024049124,KALO,02405535200033,FAC-202512-0009,,,2025-12-26,2026-01-25,,EUR,4817.69,963.54,5781.23,FR7636027866793236693846189,XUFLVOZL,False,False,False,
train-00010-invoice,train-00010,legitimate_scan,train,invoice,png,source_documents/train/train-00010/train-00010-invoice.png,reference_texts/train/train-00010/train-00010-invoice.txt,scan_blur_rotation,ocean_teal,CONSTRUCTION 2003,02408147300019,FR92024081473,MORA MORA,02407520200069,FAC-202512-0010,,,2025-12-14,2026-01-13,,EUR,8376.03,1675.21,10051.24,FR7606751240671292911787938,PAVIVWQP,False,False,False,
train-00011-invoice,train-00011,legitimate_scan,train,invoice,png,source_documents/train/train-00011/train-00011-invoice.png,reference_texts/train/train-00011/train-00011-invoice.txt,scan_blur_rotation,tech_slate,CLAUDE MATERIAUX,01585179300958,FR74015851793,TSARA,02408209100018,FAC-202511-0011,,,2025-11-18,2025-12-18,,EUR,9645.80,1929.16,11574.96,FR7634316314079265184885924,IXLMQJAT,False,False,False,
train-00012-invoice,train-00012,legitimate_scan,train,invoice,png,source_documents/train/train-00012/train-00012-invoice.png,reference_texts/train/train-00012/train-00012-invoice.txt,scan_blur_rotation,tech_slate,SAIFA,02404792000020,FR22024047920,MISTRA CONSTRUCTION,02404003200021,FAC-202602-0012,,,2026-02-06,2026-03-08,,EUR,15897.20,3179.44,19076.64,FR7644667361733725960976270,NJODVVYW,False,False,False,
train-00013-invoice,train-00013,legitimate_smartphone,train,invoice,jpg,source_documents/train/train-00013/train-00013-invoice.jpg,reference_texts/train/train-00013/train-00013-invoice.txt,smartphone_photo,industrial_orange,DISTRICT DE LEVET,01625002900796,FR33016250029,DORAS,01585179301048,FAC-202511-0013,,,2025-11-24,2025-12-24,,EUR,8175.80,1635.16,9810.96,FR7681624396188997083907860,KDZISGPY,False,False,False,
train-00014-invoice,train-00014,legitimate_smartphone,train,invoice,jpg,source_documents/train/train-00014/train-00014-invoice.jpg,reference_texts/train/train-00014/train-00014-invoice.txt,smartphone_photo,civic_red,DEMENAGEMENTS D. FRANTZ,01565100300046,FR74015651003,DOUKA BE CAVANI,02404912400373,FAC-202508-0014,,,2025-08-25,2025-09-24,,EUR,8414.08,1682.82,10096.90,FR7629912998881266650878991,SXVAAYKM,False,False,False,
train-00015-invoice,train-00015,legitimate_smartphone,train,invoice,jpg,source_documents/train/train-00015/train-00015-invoice.jpg,reference_texts/train/train-00015/train-00015-invoice.txt,smartphone_photo,tech_slate,SUPER-MAEVA,02407755400012,FR72024077554,APRR,01625002901216,FAC-202601-0015,,,2026-01-09,2026-02-08,,EUR,3558.43,711.69,4270.12,FR7681167757914606188953941,HZPLJLYS,False,False,False,
train-00016-invoice,train-00016,legitimate_smartphone,train,invoice,jpg,source_documents/train/train-00016/train-00016-invoice.jpg,reference_texts/train/train-00016/train-00016-invoice.txt,smartphone_photo,minimal_gray,LE CINTRA - L'ADAGIO,01555034600017,FR64015550346,ESPACE AUTO PRESQU'ILE,00718053200041,FAC-202510-0016,,,2025-10-04,2025-11-03,,EUR,14864.81,2972.96,17837.77,FR7610073093782287378692906,UGLTNJFL,False,False,False,
train-00017-invoice,train-00017,forged_amount_pdf,train,invoice,pdf,source_documents/train/train-00017/train-00017-invoice.pdf,reference_texts/train/train-00017/train-00017-invoice.txt,clean_pdf,midnight_navy,DIR REG ALSACE FR.COMTE DIST. BESANCON,01625002900572,FR33016250029,I.E.S.B.G.M,02407914700039,FAC-202601-0017,,,2026-01-13,2026-02-12,,EUR,16184.90,3236.98,19571.87,FR7604920713933683479519152,OWERYHIJ,True,False,False,Montant TTC incoherent avec le detail des lignes.
train-00018-invoice,train-00018,forged_amount_pdf,train,invoice,pdf,source_documents/train/train-00018/train-00018-invoice.pdf,reference_texts/train/train-00018/train-00018-invoice.txt,clean_pdf,tech_slate,DOUKA BE,02404912400027,FR45024049124,EIFFAGE CONSTRUCTION FRANCHE COMTE,01545141200058,FAC-202601-0018,,,2026-01-17,2026-02-16,,EUR,7227.38,1445.48,8822.85,FR7625097190677980006919606,TKMWBYTB,True,False,False,Montant TTC incoherent avec le detail des lignes.
train-00019-invoice,train-00019,forged_amount_pdf,train,invoice,pdf,source_documents/train/train-00019/train-00019-invoice.pdf,reference_texts/train/train-00019/train-00019-invoice.txt,clean_pdf,sand_gold,DOUKA BE ILONI,02404912400159,FR45024049124,DORAS LOCOUTI,01585179300461,FAC-202510-0019,,,2025-10-30,2025-11-29,,EUR,17687.41,3537.48,21374.88,FR7625975040857815745324631,PAZLEKQH,True,False,False,Montant TTC incoherent avec le detail des lignes.
train-00020-invoice,train-00020,forged_amount_pdf,train,invoice,pdf,source_documents/train/train-00020/train-00020-invoice.pdf,reference_texts/train/train-00020/train-00020-invoice.txt,clean_pdf,heritage_burgundy,SFR,02407217500128,FR37024072175,E.D.T.S. 2000,02404058600018,FAC-202507-0020,,,2025-07-31,2025-08-30,,EUR,3686.78,737.36,4574.13,FR7646277278169336684580087,TEQIXAHO,True,False,False,Montant TTC incoherent avec le detail des lignes.
train-00021-invoice,train-00021,forged_identifier_scan,train,invoice,png,source_documents/train/train-00021/train-00021-invoice.png,reference_texts/train/train-00021/train-00021-invoice.txt,pixelated_scan,heritage_burgundy,CAP MAY,02403853100029,FR82024038531,P.A.M.M.,00592019400031,FAC-202510-0021,,,2025-10-02,2025-11-01,,EUR,5094.51,1018.90,6113.41,FR7626994520267912674412535,LTRKOSOO,True,False,False,Identifiant fournisseur potentiellement falsifie.
train-00022-invoice,train-00022,forged_identifier_scan,train,invoice,png,source_documents/train/train-00022/train-00022-invoice.png,reference_texts/train/train-00022/train-00022-invoice.txt,pixelated_scan,heritage_burgundy,PELETEAU,02408507800015,FR43024085078,SAIFA,02404792000020,FAC-202507-0022,,,2025-07-26,2025-08-25,,EUR,10337.42,2067.48,12404.90,FR7631634554758464936039212,BXVKRLTL,True,False,False,Identifiant fournisseur potentiellement falsifie.
